REPORTE DE CATEGORÍAS DEL DATASET SKETCH
==================================================

Total de categorías: 125
Total de edges: 11241
Total de sketches: 67801

TOP 10 CATEGORÍAS CON MÁS EDGES:
----------------------------------------
 1. raccoon         |   90 edges |   7.3 avg sketches |  5-12 range
 2. apple           |   90 edges |   5.5 avg sketches |  5-10 range
 3. ant             |   90 edges |   5.6 avg sketches |  5-10 range
 4. castle          |   90 edges |   6.1 avg sketches |  5- 9 range
 5. butterfly       |   90 edges |   6.0 avg sketches |  5-14 range
 6. parrot          |   90 edges |   6.0 avg sketches |  5- 8 range
 7. bread           |   90 edges |   5.7 avg sketches |  5-13 range
 8. hotdog          |   90 edges |   6.3 avg sketches |  5-11 range
 9. shark           |   90 edges |   5.5 avg sketches |  5-11 range
10. bicycle         |   90 edges |   6.1 avg sketches |  5-10 range

TODAS LAS CATEGORÍAS:
----------------------------------------
raccoon              |   90 edges |   7.3 avg sketches |  5-12 range
apple                |   90 edges |   5.5 avg sketches |  5-10 range
ant                  |   90 edges |   5.6 avg sketches |  5-10 range
castle               |   90 edges |   6.1 avg sketches |  5- 9 range
butterfly            |   90 edges |   6.0 avg sketches |  5-14 range
parrot               |   90 edges |   6.0 avg sketches |  5- 8 range
bread                |   90 edges |   5.7 avg sketches |  5-13 range
hotdog               |   90 edges |   6.3 avg sketches |  5-11 range
shark                |   90 edges |   5.5 avg sketches |  5-11 range
bicycle              |   90 edges |   6.1 avg sketches |  5-10 range
volcano              |   90 edges |   5.5 avg sketches |  5-10 range
sheep                |   90 edges |   6.7 avg sketches |  5-10 range
pig                  |   90 edges |   6.7 avg sketches |  5-10 range
pistol               |   90 edges |   5.6 avg sketches |  5-12 range
rabbit               |   90 edges |   6.7 avg sketches |  5-11 range
sailboat             |   90 edges |   6.6 avg sketches |  5-11 range
sea_turtle           |   90 edges |   5.7 avg sketches |  5-10 range
rhinoceros           |   90 edges |   5.6 avg sketches |  5-10 range
saxophone            |   90 edges |   5.6 avg sketches |  5-10 range
seagull              |   90 edges |   6.7 avg sketches |  5-10 range
rocket               |   90 edges |   6.0 avg sketches |  5-11 range
couch                |   90 edges |   6.5 avg sketches |  5-10 range
dolphin              |   90 edges |   5.8 avg sketches |  5-11 range
hammer               |   90 edges |   6.4 avg sketches |  5-10 range
jellyfish            |   90 edges |   5.4 avg sketches |  5- 9 range
lizard               |   90 edges |   6.3 avg sketches |  5-10 range
cat                  |   90 edges |   6.9 avg sketches |  5-11 range
owl                  |   90 edges |   6.5 avg sketches |  5-11 range
knife                |   90 edges |   6.2 avg sketches |  5-11 range
beetle               |   90 edges |   5.5 avg sketches |  5-10 range
tank                 |   90 edges |   6.0 avg sketches |  5- 8 range
scissors             |   90 edges |   5.6 avg sketches |  5- 9 range
ray                  |   90 edges |   5.2 avg sketches |  5- 7 range
ape                  |   90 edges |   6.1 avg sketches |  5- 9 range
elephant             |   90 edges |   6.6 avg sketches |  5-11 range
tree                 |   90 edges |   5.3 avg sketches |  5- 9 range
bear                 |   90 edges |   7.2 avg sketches |  5-14 range
crocodilian          |   90 edges |   6.0 avg sketches |  5-10 range
spider               |   90 edges |   6.1 avg sketches |  5-14 range
fish                 |   90 edges |   5.3 avg sketches |  5-10 range
frog                 |   90 edges |   6.1 avg sketches |  5-10 range
pineapple            |   90 edges |   6.0 avg sketches |  5-12 range
candle               |   90 edges |   5.4 avg sketches |  5- 9 range
